"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"A","A",40.0717961089412,0,"1","Recrudescence"
"B","A",38.4308534141488,0,"1","Recrudescence"
"C","A",39.7461069112423,0,"1","Recrudescence"
"D","A",6.66555575893437,0,"1","Recrudescence"
"E","A",2219.15861289448,0,"1","Recrudescence"
"F","A",3.55296711844832,0,"1","Recrudescence"
"G","A",5.27185412904103e-07,1,"1","Reinfection/Error"
"H","A",51.0891590180692,0,"1","Recrudescence"
"I","A",42.8305315562829,0,"1","Recrudescence"
"J","A",0.000112134534084771,0.833333333333333,"1","Reinfection/Error"
"K","A",2.00338900109057,0,"1","Recrudescence"
"L","A",0.691553767780946,0,"1","Reinfection/Error"
"M","A",0.0129346983067999,1,"1","Reinfection/Error"
"N","A",21.1636405758053,0,"1","Recrudescence"
"O","A",524.147444974396,0,"1","Recrudescence"
"P","A",50.1556565018114,0,"1","Recrudescence"
"Q","A",0.00325728095852251,1,"1","Reinfection/Error"
"R","A",31.4828200488037,0,"1","Recrudescence"
"S","A",38.0397837370102,0,"1","Recrudescence"
"T","A",142.725949799708,0,"1","Recrudescence"
"A","B",46.0870283929495,0,"1","Recrudescence"
"B","B",26.2876609974788,0,"1","Recrudescence"
"C","B",18.5557003228498,0,"1","Recrudescence"
"D","B",0.230948938622818,0,"1","Reinfection/Error"
"E","B",457.378451087663,0,"1","Recrudescence"
"F","B",1.75699136064447,0,"1","Recrudescence"
"G","B",6.78586335633937e-05,0.916666666666667,"1","Reinfection/Error"
"H","B",19.0191111760372,0,"1","Recrudescence"
"I","B",40.8936191751925,0,"1","Recrudescence"
"J","B",3.24718982884469e-05,0.916666666666667,"1","Reinfection/Error"
"K","B",1.74615113776497,0,"1","Recrudescence"
"L","B",0.410911776657676,0,"1","Reinfection/Error"
"M","B",0.00441573350876254,1,"1","Reinfection/Error"
"N","B",30.381379634026,0,"1","Recrudescence"
"O","B",0.0217904114807931,0,"1","Reinfection/Error"
"P","B",21.119575969393,0,"1","Recrudescence"
"Q","B",0.000547777503410781,1,"1","Reinfection/Error"
"R","B",19.0191111760372,0,"1","Recrudescence"
"S","B",10.583771255418,0,"1","Recrudescence"
"T","B",236.130297011249,0,"1","Recrudescence"
"A","C",10.4061343899827,0,"1","Recrudescence"
"B","C",24.6842539016607,0,"1","Recrudescence"
"C","C",46.2705152442984,0,"1","Recrudescence"
"D","C",6293.29244993331,0,"1","Recrudescence"
"E","C",398.824872611781,0,"1","Recrudescence"
"F","C",2.71695571383435,0,"1","Recrudescence"
"G","C",8.90157390877319e-07,1,"1","Reinfection/Error"
"H","C",24.9999789426166,0,"1","Recrudescence"
"I","C",24.9999789426166,0,"1","Recrudescence"
"J","C",0.000202219429537636,0.666666666666667,"1","Reinfection/Error"
"K","C",4.45867399080057,0,"1","Recrudescence"
"L","C",0.345473600467622,0,"1","Reinfection/Error"
"M","C",0.0136684104380033,1,"1","Reinfection/Error"
"N","C",45.5498954880972,0,"1","Recrudescence"
"O","C",178.757594207579,0,"1","Recrudescence"
"P","C",45.7037545173023,0,"1","Recrudescence"
"Q","C",0.00365587139498161,1,"1","Reinfection/Error"
"R","C",50.7340064127378,0,"1","Recrudescence"
"S","C",19.1065043269309,0,"1","Recrudescence"
"T","C",196.378395177572,0,"1","Recrudescence"
