"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"A","A",1.19088299976401,2,"Benguela","Recrudescence"
"B","A",0.43515508803748,6.94,"Benguela","Reinfection/Error"
"C","A",4.00749738372751,0,"Benguela","Recrudescence"
"D","A",3.41432743048839,0.353333333333333,"Benguela","Recrudescence"
"E","A",8.86597270528719e-06,16,"Benguela","Reinfection/Error"
"F","A",0.51989609234013,6.86,"Benguela","Reinfection/Error"
"G","A",5.56718140128566,0,"Benguela","Recrudescence"
"H","A",0.199258399980178,6.93333333333333,"Benguela","Reinfection/Error"
"I","A",1,7.19333333333333,"Benguela","Reinfection/Error"
"J","A",0.613526776892382,11.28,"Benguela","Reinfection/Error"
"K","A",0.372942339531047,4.69333333333333,"Benguela","Reinfection/Error"
"L","A",0.309612012447204,18.4333333333333,"Benguela","Reinfection/Error"
"M","A",0.719094706327912,2.74,"Benguela","Reinfection/Error"
"N","A",0.238813389976525,6.56,"Benguela","Reinfection/Error"
"O","A",0.430699793131193,7.68666666666667,"Benguela","Reinfection/Error"
"P","A",0.972663314017259,3.13333333333333,"Benguela","Reinfection/Error"
"Q","A",0.406337757209004,6.12666666666667,"Benguela","Reinfection/Error"
"R","A",2.86537524549575e-05,12,"Benguela","Reinfection/Error"
"S","A",2.09692661290659e-08,30,"Benguela","Reinfection/Error"
"A","B",3.67897467549073e-05,10,"Benguela","Reinfection/Error"
"B","B",0.639418008795003,6.19333333333333,"Benguela","Reinfection/Error"
"C","B",0.686217722055709,0,"Benguela","Reinfection/Error"
"D","B",3.62070339655992,0,"Benguela","Recrudescence"
"E","B",0.0144946388462238,4,"Benguela","Reinfection/Error"
"F","B",0.239365842476951,15.0533333333333,"Benguela","Reinfection/Error"
"G","B",0.408639255157444,13.3466666666667,"Benguela","Reinfection/Error"
"H","B",0.343691337404577,1.95333333333333,"Benguela","Reinfection/Error"
"I","B",0.504012402815807,6.84666666666667,"Benguela","Reinfection/Error"
"J","B",0.618296536069885,4.24,"Benguela","Reinfection/Error"
"K","B",0.436650445397886,4.23333333333333,"Benguela","Reinfection/Error"
